url,family,state_slug,record_id,index_status,canonical,in_sitemap,title,title_length,description,description_length,h1,h1_count,internal_links_out,internal_links_in,click_depth_from_home,is_orphan,word_count,source_count,completeness_pct,last_verified,priority_tier
/,home,,,index,https://mygridpermit.com/,true,GridPermit - Solar Permit Guides for U.S. Cities (All 50 States),64,"Search verified, source-linked solar permit guides for U.S. cities. Research on file for all 50 states — deepest coverage in California.",136,Find Solar Permit Information for Your City,1,15,437,0,false,883,,,,1
/about/,static,,,index,https://mygridpermit.com/about/,true,About Us - GridPermit,21,"Learn about GridPermit, an independent educational resource for U.S. solar permitting research, with a California-only savings calculator.",138,About GridPermit,1,8,429,1,false,296,,,,3
/alabama/,static,,,index,https://mygridpermit.com/alabama/,true,Alabama Solar Permit Guides by City | GridPermit,48,"Source-linked, confidence-scored solar permitting guides by Alabama city: permit authority, required documents, fees, and eligibility.",134,Alabama Solar Permit Guides,1,15,2,2,false,250,,,,3
/alabama/birmingham/solar-permit-guide/,static,,,index,https://mygridpermit.com/alabama/birmingham/solar-permit-guide/,true,"Birmingham, AL Solar Permit Guide | GridPermit",46,"Birmingham, AL solar permit facts: permit authority, utility, fees, and inspection steps — sourced and confidence-scored. Verified 2026-08-14.",142,Birmingham Solar Permit Guide,1,19,1,3,false,1650,,,,3
/alaska/,static,,,index,https://mygridpermit.com/alaska/,true,Alaska Solar Permit Guides by City | GridPermit,47,"Source-linked, confidence-scored solar permitting guides by Alaska city: permit authority, required documents, fees, and eligibility.",133,Alaska Solar Permit Guides,1,15,2,2,false,252,,,,3
/alaska/anchorage/solar-permit-guide/,static,,,index,https://mygridpermit.com/alaska/anchorage/solar-permit-guide/,true,"Anchorage, AK Solar Permit Guide | GridPermit",45,"Anchorage, AK solar permit facts: permit authority, utility, fees, and inspection steps — sourced and confidence-scored. Verified 2026-08-14.",141,Anchorage Solar Permit Guide,1,19,1,3,false,1777,,,,3
/arizona/,state-hub,arizona,,index,https://mygridpermit.com/arizona/,true,Arizona Solar Permit Guides by City | GridPermit,48,"Source-linked, confidence-scored solar permitting guides by Arizona city: permit authority, required documents, fees, and eligibility.",134,Arizona Solar Permit Guides,1,16,3,2,false,276,,,,2
/arizona/phoenix/solar-permit-guide/,locality-guide,arizona,az-maricopa-phoenix-aps,index,https://mygridpermit.com/arizona/phoenix/solar-permit-guide/,true,"Phoenix, AZ Solar Permit Guide | GridPermit",43,"Phoenix, AZ solar permit facts: permit authority, utility, fees, and inspection steps — sourced and confidence-scored. Verified 2026-08-13.",139,Phoenix Solar Permit Guide,1,19,1,3,false,1152,3,86.7,2026-08-13,1
/arizona/tucson/solar-permit-guide/,locality-guide,arizona,az-pima-tucson-tep,index,https://mygridpermit.com/arizona/tucson/solar-permit-guide/,true,"Tucson, AZ Solar Permit Guide | GridPermit",42,"Tucson, AZ solar permit facts: permit authority, utility, fees, and inspection steps — sourced and confidence-scored. Verified 2026-08-13.",138,Tucson Solar Permit Guide,1,19,1,3,false,1335,4,86.7,2026-08-13,1
/arkansas/,static,,,index,https://mygridpermit.com/arkansas/,true,Arkansas Solar Permit Guides by City | GridPermit,49,"Source-linked, confidence-scored solar permitting guides by Arkansas city: permit authority, required documents, fees, and eligibility.",135,Arkansas Solar Permit Guides,1,15,2,2,false,251,,,,3
/arkansas/little-rock/solar-permit-guide/,static,,,index,https://mygridpermit.com/arkansas/little-rock/solar-permit-guide/,true,"Little Rock, AR Solar Permit Guide | GridPermit",47,"Little Rock, AR solar permit facts: permit authority, utility, fees, and inspection steps — sourced and confidence-scored. Verified 2026-08-14.",143,Little Rock Solar Permit Guide,1,19,1,3,false,1584,,,,3
/blog/,blog-index,,,index,https://mygridpermit.com/blog/,true,Solar & Battery Guides Blog | GridPermit,40,"California-focused solar, battery, and utility rate guides — PG&E, SCE, and SDG&E rate analysis, NEM 3.0 payback math, and SGIP rebate breakdowns.",146,Solar & Battery Guides,1,21,435,1,false,511,,,,2
/blog/pge-nem3-calculator/,blog-post,,,index,https://mygridpermit.com/blog/pge-nem3-calculator/,true,PG&E NEM 3.0 Solar Payback Calculator & Rules (2026 Guide),58,How Pacific Gas & Electric (PG&E) customers can navigate NEM 3.0 export rate cuts and optimize battery storage for maximum payback.,131,PG&E NEM 3.0 Solar Payback Calculator & Rules (2026 Guide),1,18,139,2,false,402,,,,2
/blog/pge-rate-hikes-2026/,blog-post,,,index,https://mygridpermit.com/blog/pge-rate-hikes-2026/,true,PG&E Rate Hike Audit 2026: Solar & Battery Protection Analysis,62,Analysis of Pacific Gas & Electric (PG&E) electricity rate increases and how home battery storage offsets E-ELEC peak pricing.,126,PG&E Rate Hikes in 2026: Impact Analysis for Northern California Solar Owners,1,9,139,2,false,297,,,,2
/blog/sce-guide/,blog-post,,,index,https://mygridpermit.com/blog/sce-guide/,true,SCE NEM 3.0 Guide: Why Battery Storage Now Drives Solar Payback,63,"How Southern California Edison (SCE) customers are affected by NEM 3.0 export-rate cuts, and why battery storage has become central to solar payback math.",154,SCE NEM 3.0 Guide: Why Battery Storage Now Drives Solar Payback,1,18,105,2,false,450,,,,2
/blog/sdge-battery-roi-guide/,blog-post,,,index,https://mygridpermit.com/blog/sdge-battery-roi-guide/,true,SDG&E Battery Storage ROI Guide 2026: Rates & Economics,55,San Diego Gas & Electric (SDG&E) battery payback breakdown under NEM 3.0 rules and EV-TOU-5 rate schedules.,107,San Diego Solar & Battery Economics: SDG&E Rate Analysis (2026),1,9,22,2,false,240,,,,2
/blog/sdge-guide/,blog-post,,,index,https://mygridpermit.com/blog/sdge-guide/,true,SDG&E Electricity Rates & NEM 3.0 Analysis: The Complete 2026 Guide,67,SDG&E has some of the highest electricity rates in the continental U.S. — an audit of NEM 3.0 tariffs and battery payback math.,127,SDG&E Electricity Rates & NEM 3.0 Analysis: The Complete 2026 Guide,1,18,22,2,false,383,,,,2
/blog/sgip-battery-rebates-california/,blog-post,,,index,https://mygridpermit.com/blog/sgip-battery-rebates-california/,true,California SGIP Battery Rebates 2026: How to Cover Up to 80% of Storage Costs,77,Learn if your household qualifies for Self-Generation Incentive Program (SGIP) high-equity or medical baseline rebates in California.,133,California SGIP Battery Rebates 2026: How to Cover Up to 80% of Storage Costs,1,18,343,2,false,369,,,,2
/blog/solar-battery-payback-nem3/,blog-post,,,index,https://mygridpermit.com/blog/solar-battery-payback-nem3/,true,California NEM 3.0 Solar & Battery Payback Guide (2026 Audit),61,"Comprehensive guide to California Net Billing Tariff (NEM 3.0), avoided cost rates, TOU arbitrage, and battery ROI.",115,The California NEM 3.0 Solar & Battery Payback Guide (2026),1,8,79,2,false,258,,,,2
/blog/tesla-powerwall-3-vs-enphase-iq5p/,blog-post,,,index,https://mygridpermit.com/blog/tesla-powerwall-3-vs-enphase-iq5p/,true,Tesla Powerwall 3 vs. Enphase IQ Battery 5P: Which Has Better ROI in 2026?,74,A head-to-head financial and technical comparison of the two dominant home batteries under NEM 3.0 rules.,105,Tesla Powerwall 3 vs. Enphase IQ Battery 5P: Which Has Better ROI in 2026?,1,17,183,2,false,355,,,,2
/california/,california-hub,,,index,https://mygridpermit.com/california/,true,California Solar Permit Guide | GridPermit,42,"How California residential solar permitting works: permit authority vs. utility interconnection, SolarAPP+, inspections, and batteries — plus city guides.",154,California Solar Permit Guide,1,43,319,1,false,1303,,,,1
/california/alameda/solar-permit-guide/,locality-guide,california,ca-alameda-alameda-amp,index,https://mygridpermit.com/california/alameda/solar-permit-guide/,true,"Alameda, CA Solar Permit Guide | GridPermit",43,"Alameda, CA solar permit facts: permit authority, utility, fees, and inspection steps — sourced and confidence-scored. Verified 2026-08-02.",139,Alameda Solar Permit Guide,1,27,14,2,false,1193,3,86.7,2026-08-02,1
/california/albany/solar-permit-guide/,locality-guide,california,ca-alameda-albany-pge,index,https://mygridpermit.com/california/albany/solar-permit-guide/,true,"Albany, CA Solar Permit Guide | GridPermit",42,"Albany, CA solar permit facts: permit authority, utility, fees, and inspection steps — sourced and confidence-scored. Verified 2026-08-09.",138,Albany Solar Permit Guide,1,28,66,2,false,1290,5,86.7,2026-08-09,1
/california/alhambra/solar-permit-guide/,locality-guide,california,ca-los-angeles-alhambra-sce,index,https://mygridpermit.com/california/alhambra/solar-permit-guide/,true,"Alhambra, CA Solar Permit Guide | GridPermit",44,"Alhambra, CA solar permit facts: permit authority, utility, fees, and inspection steps — sourced and confidence-scored. Verified 2026-08-11.",140,Alhambra Solar Permit Guide,1,28,51,2,false,1205,8,80,2026-08-11,1
/california/aliso-viejo/solar-permit-guide/,locality-guide,california,ca-orange-aliso-viejo-sce,index,https://mygridpermit.com/california/aliso-viejo/solar-permit-guide/,true,"Aliso Viejo, CA Solar Permit Guide | GridPermit",47,"Aliso Viejo, CA solar permit facts: permit authority, utility, fees, and inspection steps — sourced and confidence-scored. Verified 2026-08-08.",143,Aliso Viejo Solar Permit Guide,1,28,35,2,false,1126,5,80,2026-08-08,1
/california/american-canyon/solar-permit-guide/,locality-guide,california,ca-napa-american-canyon-pge,index,https://mygridpermit.com/california/american-canyon/solar-permit-guide/,true,"American Canyon, CA Solar Permit Guide | GridPermit",51,"American Canyon, CA solar permit facts: permit authority, utility, fees, and inspection steps — sourced and confidence-scored. Verified 2026-08-09.",147,American Canyon Solar Permit Guide,1,28,46,2,false,1114,5,80,2026-08-09,1
/california/anaheim/solar-permit-guide/,locality-guide,california,ca-orange-anaheim-apu,index,https://mygridpermit.com/california/anaheim/solar-permit-guide/,true,"Anaheim, CA Solar Permit Guide | GridPermit",43,"Anaheim, CA solar permit facts: permit authority, utility, fees, and inspection steps — sourced and confidence-scored. Verified 2026-08-09.",139,Anaheim Solar Permit Guide,1,27,29,2,false,1084,2,80,2026-08-09,1
/california/antioch/solar-permit-guide/,locality-guide,california,ca-contra-costa-antioch-pge,index,https://mygridpermit.com/california/antioch/solar-permit-guide/,true,"Antioch, CA Solar Permit Guide | GridPermit",43,"Antioch, CA solar permit facts: permit authority, utility, fees, and inspection steps — sourced and confidence-scored. Verified 2026-08-08.",139,Antioch Solar Permit Guide,1,28,56,2,false,940,2,80,2026-08-08,1
/california/apple-valley/solar-permit-guide/,locality-guide,california,ca-san-bernardino-apple-valley-sce,index,https://mygridpermit.com/california/apple-valley/solar-permit-guide/,true,"Apple Valley, CA Solar Permit Guide | GridPermit",48,"Apple Valley, CA solar permit facts: permit authority, utility, fees, and inspection steps — sourced and confidence-scored. Verified 2026-08-11.",144,Apple Valley Solar Permit Guide,1,28,20,2,false,1221,6,80,2026-08-11,1
/california/arcadia/solar-permit-guide/,locality-guide,california,ca-los-angeles-arcadia-sce,index,https://mygridpermit.com/california/arcadia/solar-permit-guide/,true,"Arcadia, CA Solar Permit Guide | GridPermit",43,"Arcadia, CA solar permit facts: permit authority, utility, fees, and inspection steps — sourced and confidence-scored. Verified 2026-08-09.",139,Arcadia Solar Permit Guide,1,28,49,2,false,1139,5,80,2026-08-09,1
/california/arroyo-grande/solar-permit-guide/,locality-guide,california,ca-san-luis-obispo-arroyo-grande-pge,index,https://mygridpermit.com/california/arroyo-grande/solar-permit-guide/,true,"Arroyo Grande, CA Solar Permit Guide | GridPermit",49,"Arroyo Grande, CA solar permit facts: permit authority, utility, fees, and inspection steps — sourced and confidence-scored. Verified 2026-08-09.",145,Arroyo Grande Solar Permit Guide,1,28,37,2,false,1061,6,80,2026-08-09,1
/california/arvin/solar-permit-guide/,locality-guide,california,ca-kern-arvin-pge,index,https://mygridpermit.com/california/arvin/solar-permit-guide/,true,"Arvin, CA Solar Permit Guide | GridPermit",41,"Arvin, CA solar permit facts: permit authority, utility, fees, and inspection steps — sourced and confidence-scored. Verified 2026-08-09.",137,Arvin Solar Permit Guide,1,28,18,2,false,1080,3,80,2026-08-09,1
/california/atascadero/solar-permit-guide/,locality-guide,california,ca-san-luis-obispo-atascadero-pge,index,https://mygridpermit.com/california/atascadero/solar-permit-guide/,true,"Atascadero, CA Solar Permit Guide | GridPermit",46,"Atascadero, CA solar permit facts: permit authority, utility, fees, and inspection steps — sourced and confidence-scored. Verified 2026-08-09.",142,Atascadero Solar Permit Guide,1,28,12,2,false,994,3,80,2026-08-09,1
/california/atherton/solar-permit-guide/,locality-guide,california,ca-san-mateo-atherton-pge,index,https://mygridpermit.com/california/atherton/solar-permit-guide/,true,"Atherton, CA Solar Permit Guide | GridPermit",44,"Atherton, CA solar permit facts: permit authority, utility, fees, and inspection steps — sourced and confidence-scored. Verified 2026-08-09.",140,Atherton Solar Permit Guide,1,28,17,2,false,1033,4,80,2026-08-09,1
/california/atwater/solar-permit-guide/,locality-guide,california,ca-merced-atwater-pge,index,https://mygridpermit.com/california/atwater/solar-permit-guide/,true,"Atwater, CA Solar Permit Guide | GridPermit",43,"Atwater, CA solar permit facts: permit authority, utility, fees, and inspection steps — sourced and confidence-scored. Verified 2026-08-11.",139,Atwater Solar Permit Guide,1,27,4,2,false,1261,5,86.7,2026-08-11,1
/california/auburn/solar-permit-guide/,locality-guide,california,ca-placer-auburn-pge,index,https://mygridpermit.com/california/auburn/solar-permit-guide/,true,"Auburn, CA Solar Permit Guide | GridPermit",42,"Auburn, CA solar permit facts: permit authority, utility, fees, and inspection steps — sourced and confidence-scored. Verified 2026-08-09.",138,Auburn Solar Permit Guide,1,27,5,2,false,1265,5,86.7,2026-08-09,1
